year,sample,act_hours,event_high,events_low
19_20,X1,1349.00,16,4
20_21,X1,1275.00,8,2
21_22,X1,933.00,15,2
22_23,X1,673.00,16,3
19_20,X2,1334.00,18,6
20_21,X2,1268.00,4,1
21_22,X2,899,4,4
22_23,X2,475,12,3
19_20,X3,1735.00,12,3
20_21,X3,1598.00,14,3
21_22,X3,1176,26,2
22_23,X3,483,19,5
19_20,X4,1334.00,4,2
20_21,X4,1268.00,7,1
21_22,X4,899,13,3
22_23,X4,475,12,2
